Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Diversity Spotlight (US Headquarters Only),Founded Date,Founded Date Precision,Number of Investments,Number of Diversity Investments,Number of Exits,Founders,Number of Employees,Funding Status,Last Funding Date,Last Funding Type,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Last Leadership Hiring Date,Last Layoff Mention Date,Contact Job Departments,Number of Contacts
Quanterium BlockChain Solutions,https://www.crunchbase.com/organization/quanterium-blockchain-solutions,"Artificial Intelligence (AI), B2B, Blockchain, E-Commerce, Home Health Care, Humanitarian, Social Entrepreneurship","Dubai, Uttar Pradesh, India",Quanterium Blockchain Solutions is a developer of cutting-edge tech solutions combining Blockchain and AI.,,2018-05-29,day,,,,,11-50,,,,,,,,,,,,,Private,,,,,,,
Heron Neutron Medical,https://www.crunchbase.com/organization/heron-neutron-medical,"Artificial Intelligence (AI), Health Care, Medical","Hsinchu, T'ai-wan, Taiwan",Heron Neutron Medical provides treatment planning system and treatment control system.,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,
Medi Face,https://www.crunchbase.com/organization/medi-face,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Psychology","Sapporo, Hokkaido, Japan",Medi Face is a software development firm that offers a cloud-based app interface for mental illness diagnosis using artificial intelligence.,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,
SaveExpats,https://www.crunchbase.com/organization/saveexpats,"Artificial Intelligence (AI), Health Care, Personal Health, Wellness","Tokyo, Tokyo, Japan","SaveExpats is an online platform that provides AI-based health calculation, testing kit delivery, and doctor consultation for expatriates.",,,,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,
EDas Healthcare,https://www.crunchbase.com/organization/edas-healthcare,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Personal Health, Real Time","Jerusalem, Yerushalayim, Israel",EDas Healthcare enables the real-time diagnosis of infectious diseases using machine learning and a dynamic algorithm.,,2018-01-01,day,,,,Guy Livne,1-10,,2018-03-28,Non-equity Assistance,,,,,,,,,,Private,,,,,,,
Hidoc Dr.,https://www.crunchbase.com/organization/hidoc-dr,"Artificial Intelligence (AI), Education, Health Care, Online Forums, Online Portals","Pune, Maharashtra, India","Hidoc Dr. is an AI based networking platform that offers a common ground for medical professional to discuss, consult, and exchange ideas.",,2017-01-01,year,,,,Varun Gadia,11-50,,,,,,,,,,,,,Private,,,,,,,
Jingcai Intelligent,https://www.crunchbase.com/organization/jingcai-intelligent,"Artificial Intelligence (AI), Health Care, Medical","Haidian, Beijing, China",Jingcai Intelligent is an AI company that focuses on the continuous management of musculoskeletal pain and sports health.,,2020-01-01,year,,,,,,Seed,2023-06-20,Seed,,,,,,,,,,Private,,,,,,,
Zoi.ai,https://www.crunchbase.com/organization/zoi-ai,"Artificial Intelligence (AI), Health Diagnostics, Software","Tel Aviv, Tel Aviv, Israel",Zoi.ai is a remote/non-invasive tele-diagnostic tool powered by AI for diseases and infections.,,2017-01-01,year,,,,,,,,,,,,,,,,,,Private,,,,,,,
LAMI,https://www.crunchbase.com/organization/lami,"Artificial Intelligence (AI), Health Care, Mobile Apps, Wellness","Bengaluru, Karnataka, India","Lami is AI-driven health platform it provides customized diet plans, eating habits over time, health tips and reminders.",,,,,,,Laxmi Pandrala,1-10,,,,,,,,,,,,,Private,,,,,,,
Innovision,https://www.crunchbase.com/organization/innovision-ffa3,"Artificial Intelligence (AI), Health Care, Medical, Pharmaceutical","Jimei, Fujian, China",Innovision is an artificial intelligence technology to process digestive endoscopy image data.,,2017-07-25,day,,,,,51-100,Early Stage Venture,2023-02-20,Series A,,,,,,,,,,Private,,,,,,,
CRESCOM,https://www.crunchbase.com/organization/crescom,"Analytics, Artificial Intelligence (AI), Health Care, Information Technology","Bundangdong, Kyonggi-do, South Korea",CRESCOM is an AI medical health innovation company.,,2017-01-05,day,,,,,,Seed,2021-06-01,Pre-Seed,,,,,,,,,,Private,,,,,,,
Biomarkerz,https://www.crunchbase.com/organization/biomarkerz,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Mental Health, Telehealth","Tel Aviv, Tel Aviv, Israel",Biomarkerz is a telehealth platform that focuses on creating AI-based medical technology biomarkers for mental health therapy.,,2020-01-01,year,,,,,,,,,,,,,,,,,,Private,,,,,,,
Hebin Intelligence,https://www.crunchbase.com/organization/hebin-intelligence,"Artificial Intelligence (AI), Health Care, Medical Device, Robotics","Hefei, Anhui, China",Hebin Intelligence is an AI ultrasonic medical robot company providing remote ultrasound autonomous ultrasound diagnosis robots.,,2020-08-01,month,,,,"Dongliang Cheng, Jing Xia, Zhen Liu",11-50,Seed,2022-03-29,Seed,,,,,,,,,,Private,,,,,,,
mediTective,https://www.crunchbase.com/organization/meditective,"Artificial Intelligence (AI), Big Data, Health Care, Machine Learning, Medical","Haifa, Hefa, Israel",MediTective is an artificial intelligence system that detects polyps in gastrointestinal procedures.,,2019-01-01,day,,,,David Rainis,1-10,,,,,,,,,,,,,Private,,,,,,,1
Advanced Future Systems,https://www.crunchbase.com/organization/advanced-future-systems,"Artificial Intelligence (AI), Health Care, Video","Seoul, Seoul-t'ukpyolsi, South Korea",Advanced Future Systems helps people to self diagnose and treat hair loss using artificial intelligence app.,,2018-07-01,month,,,,,,Seed,2021-06-09,Seed,,,,,,,,,,Private,,,,,,,
"NAM Co., Ltd.",https://www.crunchbase.com/organization/nam-co-ltd,"Artificial Intelligence (AI), Hardware, Health Diagnostics, Information Technology, Machine Learning, Software","Chuo, Hokkaido, Japan","NAM Co., Ltd. deals in Development of medical-focused computer software and hardware,Machine learning & artificial intelligence.",,2017-01-01,year,,,,Tetsupei Nakano,11-50,,,,,,,,,,,,,Private,,,,,,,
AIDDT,https://www.crunchbase.com/organization/aiddt,"Artificial Intelligence (AI), Biotechnology, Developer APIs, Health Care, Machine Learning, Pharmaceutical, Software","Singapore, Central Region, Singapore",AIDDT is a complete end-to-end pipeline for drug design with self-learning generative artificial intelligence.,,2019-10-25,day,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,
Dieatto,https://www.crunchbase.com/organization/dieatto,"Artificial Intelligence (AI), Health Care, Machine Learning, Software, Wellness","Gurgaon, Haryana, India",Dieatto is an AI powered diet bot using machine learning to tailor and track diet plans.,,2018-01-01,day,,,,"Akshay Kumar, John Epaphras",1-10,,,,,,,,,,,,,Private,,,,,,,
ScubeLife,https://www.crunchbase.com/organization/scubelife,"Artificial Intelligence (AI), Construction, Health Care","Tokyo, Tokyo, Japan","ScubeLife provides services of AI image analysis, construction planning, and healthcare.",,2013-12-01,day,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,
DeepEyeVision,https://www.crunchbase.com/organization/deepeyevision,"Artificial Intelligence (AI), Health Care, Medical","Shimotsuke, Tochigi, Japan",DeepEyeVision is a cloud-based AI diagnosis support solution.,,2016-05-10,day,,,,,1-10,Seed,2020-02-05,Seed,,,,,,,,,,Private,,,,,,,
Data2Life,https://www.crunchbase.com/organization/data2life,"Artificial Intelligence (AI), Big Data, Biotechnology, Health Care, Software","Tel Aviv-yafo, Tel Aviv, Israel",Data2Life focuses on using real world data to address clinical and health related challenges.,,2014-02-01,month,,,,"Itzik Lichtenfeld, Limor BH Epstein",1-10,,,,,,,,,,,,,Private,,,,,,Operations,1
Tesser,https://www.crunchbase.com/organization/tesser-0294,"Artificial Intelligence (AI), Health Care, Software","Seoul, Seoul-t'ukpyolsi, South Korea",Tesser develops a patient data-centered medical ecosystem based on personalized AI that connects patients and doctors through data.,,2019-01-01,year,,,,,11-50,Seed,2023-07-04,Seed,,,,,,,,,,Private,,,,,,,
Vesica Intelligence,https://www.crunchbase.com/organization/vesica-intelligence,"Artificial Intelligence (AI), Health Diagnostics, Medical","Japan, Jawa Tengah, Indonesia",Vesica Intelligence is a technology company that develops AI systems to support cystoscopy to prevent diagnostic errors in endoscopic tests.,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,
98Fit,https://www.crunchbase.com/organization/98fit,"Apps, Artificial Intelligence (AI), Big Data, Fitness, Health Care, Lifestyle, Machine Learning, Mobile, Mobile Apps, Sports","New Delhi, Delhi, India",98Fit is an effortless fitness platform that behaves just like a human coach analyzing every minute aspect of user's life.,,2016-06-17,day,,,,Bhavishya Wadhawan,1-10,,,,,,,,,,,,,Private,,,,,,,
aicare.ai,https://www.crunchbase.com/organization/aicare-ai,"Artificial Intelligence (AI), Health Care, Information Technology, Machine Learning, Software","Sydney, New South Wales, Australia","Aicare.ai is the next generation AI powered healthcare platform, which aim to provide the best patient experience with AI assistant tech",,2020-03-05,day,,,,chris ding,1-10,,,,,,,,,,,,,Private,,,,,,,
Fantastic,https://www.crunchbase.com/organization/fantastic-c552,"Artificial Intelligence (AI), Health Care, Internet of Things, Machine Learning","Chiba, Chiba, Japan",Fantastic provides a monitoring system that specializes in AI and IoT healthcare services.,,2017-04-05,day,,,,,,,,,,,,,,,,,,Private,,,,,,,
Nexgle,https://www.crunchbase.com/organization/nexgle,"Artificial Intelligence (AI), Health Care, Information Technology","Kormangala, Karnataka, India","Nexgle Inc. offers IT services and consulting, specializing in AI-based integrations and solutions, primarily for healthcare.",,2020-01-01,year,,,,,11-50,,,,,,,,,,,,,Private,,,,,,,
Dr.Brain,https://www.crunchbase.com/organization/dr-brain,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Information Technology, Medical, Medical Device","Shenzhen, Guangdong, China",Dr.Brain is an imaging analysis and diagnostic platform.,,2017-01-01,year,,,,,51-100,Seed,2018-01-01,Seed,,,,,,,,,,Private,,,,,,,
AI4quant,https://www.crunchbase.com/organization/ai4quant-inc-tw,"Artificial Intelligence (AI), Health Care, Information Technology, Machine Learning, Software","Taipei, T'ai-pei, Taiwan",AI4quant provides end-to-end health care AI solutions.,,2018-08-01,month,,,,"Jason Chuang, Tina Tung",1-10,,2019-06-14,Non-equity Assistance,,,,,,,,,,Private,,,,,,,
Healthymize,https://www.crunchbase.com/organization/healthymize,"Artificial Intelligence (AI), Health Care, Medical","Haifa, Hefa, Israel",Healthymize provides AI based voice monitoring to predict flare ups in voice affecting diseases. ,,2016-01-01,year,,,,"Daniel Aronovich, Rafi Gidron, Shady Hassan",1-10,M&A,2016-07-01,Non-equity Assistance,Healthymize acquired by Vocalis Health,https://www.crunchbase.com/acquisition/vocalis-health-c243-acquires-healthymize--4a68f04f,Vocalis Health,https://www.crunchbase.com/organization/vocalis-health-c243,2019-12-12,day,,,,Private,,,,,,,
Amra Shunbo,https://www.crunchbase.com/organization/amra-shunbo,"Artificial Intelligence (AI), Health Care","Dhaka, Dhaka, Bangladesh",Amra Shunbo leverages digital solutions to promote mental well-being and provide peer support.,,2021-04-01,month,,,,"Abdullah Al Mahmud, Ayman Chowdhury, Farhan Tajwar Ahmed",11-50,,,,,,,,,,,,,Private,,,,,,,
Keshuimao,https://www.crunchbase.com/organization/keshuimao,"Artificial Intelligence (AI), Medical Device, Personal Health","Shenzhen, Guangdong, China",Keshuimao is an AI-based intelligent sleep monitoring company that provides sleep health-related products and hardware technology solutions.,,2019-01-01,year,,,,,,,2023-11-27,Venture - Series Unknown,,,,,,,,,,Private,,,,,,,
QorQl,https://www.crunchbase.com/organization/qorql,"Artificial Intelligence (AI), Health Care, Wellness","Noida, Uttar Pradesh, India",QorQl is a platform for Connected Health. ,,2015-01-01,year,,,,"Ajay Tongar, Sanjay Singh, Shalini Singh",11-50,,2017-04-07,Corporate Round,,,,,,,,,,Private,,,,,,,
NeuroTx,https://www.crunchbase.com/organization/neurotx,"Artificial Intelligence (AI), Health Care, Medical, Mental Health, Therapeutics","Seoul, Seoul-t'ukpyolsi, South Korea",NeuroTx is a digital therapy company that treats mental health disorders by providing artificial intelligence and mental monitoring.,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,
iSabel,https://www.crunchbase.com/organization/isabel-1ff9,"Apps, Artificial Intelligence (AI), Customer Service, Fitness, Health Care, Wellness","Singapore, Central Region, Singapore",iSabel is an app that provides activities for mental fitness.,,2021-01-01,year,,,,,11-50,,,,,,,,,,,,,Private,,,,,,,
Reading Technology,https://www.crunchbase.com/organization/reading-technology,"Artificial Intelligence (AI), Health Care, Medical, Medical Device","Shenzhen, Guangdong, China","Reading Technology is an R&D company that uses imaging, data, AI diagnosis, and treatment technology for heart and brain diseases.",,2017-10-01,month,,,,,11-50,Early Stage Venture,2021-11-26,Series A,,,,,,,,,,Private,,,,,,,
ZENA Care,https://www.crunchbase.com/organization/zena-care,"Artificial Intelligence (AI), Health Care, Software","Seongdong, Kyonggi-do, South Korea",ZENA Care is an AI video signal processing and recognition system that simplifies user identification through non-face-to-face biometrics.,,2018-01-01,year,,,,,,Seed,2021-05-14,Seed,,,,,,,,,,Private,,,,,,,
NightingaleAI,https://www.crunchbase.com/organization/nightingaleai,"Artificial Intelligence (AI), Health Care, Internet of Things, Software, Wearables","Tainan, T'ai-wan, Taiwan",a Health Care AI solution company. Utilizing smart wristband to predict fever trend by CareAI from NightingaleAI,,2020-05-01,day,,,,Lman Chu,1-10,,,,,,,,,,,,,Private,,,,,,,
CarbGeM Inc.,https://www.crunchbase.com/organization/carbgem,"Artificial Intelligence (AI), Biopharma, Health Care, Medical Device","Tokyo, Tokyo, Japan",CarbGeM is a Japan-based startup focused on AI-based diagnostics for the problem of Antimicrobial Resistance (AMR),,2021-03-01,month,,,,Masakazu Nakajima,,,,,,,,,,,,,,Private,,,,,,,
GenoDeep,https://www.crunchbase.com/organization/genodeep,"Artificial Intelligence (AI), Biotechnology, Health Care, Machine Learning","Tehran, Tehran, Iran",Early Cancer Detection Through Blood Sample and Breakthrough Deep Learning Algorithm,,2018-07-04,day,,,,"Ali Sendani, Amir Daaee, Hosein Kazazi",1-10,,,,,,,,,,,,,Private,,,,,,,
Genebloc.ai,https://www.crunchbase.com/organization/genebloc-ai,"Artificial Intelligence (AI), Blockchain, Genetics, Health Care","Bangalore, Karnataka, India",Genomics| Blockchain| AI,,2020-09-30,day,,,,Roland Lamuel,1-10,,,,,,,,,,,,,Private,,,,,,,
4Girls,https://www.crunchbase.com/organization/4girls,"Artificial Intelligence (AI), Health Care, Mental Health, Wellness","Tel Aviv, Tel Aviv, Israel","4Girls uses AI and NLP technologies and the knowledge of mental health pro, to create a distress risk score of one's mental health.",,2018-01-01,year,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,
Do & Do,https://www.crunchbase.com/organization/do-do-f04b,"Artificial Intelligence (AI), Health Care, Software","Shibuya, Kanagawa, Japan",Do & Do develops a health tracking system using AI technology to recommend behavioral improvements by recording user's subjective symptoms.,,2022-08-08,day,,,,,,,,,,,,,,,,,,Private,,,,,,,
Inventive Health,https://www.crunchbase.com/organization/inventive-health,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Medical Device","Sydney, New South Wales, Australia","Inventive Health provides transformative healthcare solutions that enable fast, affordable, and portable pathogens diagnostics.",,,,,,,,11-50,,,,,,,,,,,,,Private,,,,,,,4
IOTA Informatics,https://www.crunchbase.com/organization/iota-informatics,"Artificial Intelligence (AI), Information Technology, mHealth, Mobile Apps, SEO, Social Media Marketing, Software, UX Design, Web Apps","Bhopal, Madhya Pradesh, India","IOTA Informatics provides healthcare IT solutions, app and software development, and a telehealth platform.",,2018-01-01,year,,,,,11-50,,,,,,,,,,,,,Private,,,,,,,
Pwave Technologies,https://www.crunchbase.com/organization/pwave-technologies,"Artificial Intelligence (AI), Health Care, Software","Indore, Madhya Pradesh, India",Pwave Technologies provides medical software based services.,,2016-01-01,year,,,,"Alok Agrawal, Mohit Sood, Romil Jain",,,,,,,,,,,,,,Private,,,,,,,
EVOLT ACTIVE,https://www.crunchbase.com/organization/evolt-active,"Artificial Intelligence (AI), Health Care, Information Technology, Mobile Apps","Nerang, Queensland, Australia",EVOLT ACTIVE is a mobile app for tracking your body composition insights using AI technology.,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,
ZTACOM,https://www.crunchbase.com/organization/ztacom,"Artificial Intelligence (AI), Health Care, Information Technology, Internet of Things","Seoul, Seoul-t'ukpyolsi, South Korea","ZTACOM is a digital healthcare company that develops wearable devices, AI analysis, and diagnosis platforms.",,2017-10-01,month,,,,,1-10,,2020-06-01,Non-equity Assistance,,,,,,,,,,Private,,,,,,,
Alinsight,https://www.crunchbase.com/organization/alinsight,"Artificial Intelligence (AI), Health Diagnostics, Medical","Busan, Pusan-jikhalsi, South Korea",Alinsight develops an artificial intelligence and deep learning-based medical platform to assist in precision diagnosis services.,,2018-01-01,year,,,,,,,,,,,,,,,,,,Private,,,,,,,
"SFM Co., Ltd.",https://www.crunchbase.com/organization/sfm-co-ltd,"Artificial Intelligence (AI), Health Care, Information Technology, IT Management, Software","Higashi-shinagawa, Tokyo, Japan","SFM Co., Ltd. is an AI & IT based firm that deals in Development of self-developed edge AI image analysis technology & healthcare software.",,2015-01-01,year,,,,,11-50,,,,,,,,,,,,,Private,,,,,,,
AlephBot,https://www.crunchbase.com/organization/alephbot,"Artificial Intelligence (AI), Big Data, Health Care, Medical, Software","Haifa, Hefa, Israel",AlephBot is a real-time AI application platform for medical procedures that increases treatment effectiveness and saves lives.,,2017-01-01,year,,,,,1-10,Seed,2017-09-03,Seed,,,,,,,,,,Private,,,,,,Information Technology,1
AIExplore,https://www.crunchbase.com/organization/aiexplore,"Artificial Intelligence (AI), Health Care, Information Technology, Machine Learning, Manufacturing, Smart Cities, Software","Taipei, T'ai-pei, Taiwan","International Award Winning AI Platform for smart healthcare, smart manufacturing, smart city and smart agriculture",,2019-07-01,day,,,,,11-50,,,,,,,,,,,,,Private,,,,,,,1
Acorn Research,https://www.crunchbase.com/organization/acorn-research,"Artificial Intelligence (AI), Health Care, Management Consulting, Market Research, Training","Dubai, Dubai, United Arab Emirates","Acorn Research is a consulting firm that provides training, management consulting, AI, market research, and healthcare services.",,2006-01-01,year,,,,,101-250,,,,,,,,,,,,,Private,,,,,,,
Iru,https://www.crunchbase.com/organization/iru,"Artificial Intelligence (AI), Developer Platform, Health Care, Information Services, Internet of Things, IT Infrastructure","Ichinomiya, Aichi, Japan","Iru is a software company that provides information collection, monitoring, and behavioral predictions using AI for the healthcare industry.",,2023-02-01,month,,,,,,,,,,,,,,,,,,Private,,,,,,,
Sanux,https://www.crunchbase.com/organization/sanux,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Mental Health, Software","Sydney, New South Wales, Australia",Sanux delivers actionable medical recommendations to physical and mental health illnesses using AI.,,2020-01-01,year,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,
PreDoc,https://www.crunchbase.com/organization/predoc-b8b9,"Artificial Intelligence (AI), Health Diagnostics, Online Portals","Delhi, Delhi, India","Predoc.ai develops an AI-based platform for pre-doctor diagnostics, aiding in medical diagnosis and data management.",,,,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,
Visiona MedTech,https://www.crunchbase.com/organization/visiona-medtech,"Artificial Intelligence (AI), Health Care, Machine Learning, Software, Wellness","Sha Tin, New Territories, Hong Kong",Visiona MedTech is a developing AI-enabled analytic application for auto detection of sight-threatening diseases in retinal images.,,2013-01-01,year,,,,Reny Ng,1-10,,,,,,,,,,,,,Private,,,,,,,
Rouast Labs,https://www.crunchbase.com/organization/rouast-labs,"Artificial Intelligence (AI), Computer Vision, Health Care, Medical, Personal Health, Software, Wellness","Newcastle, New South Wales, Australia",Building technology for remote video-based vital sign monitoring.,,2023-10-01,month,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,
ExperiaCare,https://www.crunchbase.com/organization/experiacare,"Analytics, Artificial Intelligence (AI), Health Care, Information Technology, Software","Dubai, Dubai, United Arab Emirates",ExperiaCare is an IT services firm which provides digital transformation services for health care providers through the use of AI.,,2019-01-01,year,,,,,11-50,,,,,,,,,,,,,Private,,,,,,,
Hong Kong Centre for Cerebro-cardiovascular Health Engineering,https://www.crunchbase.com/organization/hong-kong-centre-for-cerebro-cardiovascular-health-engineering,"Artificial Intelligence (AI), Health Care, Medical","Hong Kong, Hong Kong Island, Hong Kong",COCHE is a healthcare center that develops groundbreaking systems for the diagnosis of cerebro-cardiovascular health engineering.,,2020-01-01,year,,,,Yuan-Ting Zhang,51-100,,,,,,,,,,,,,Private,,,,,,,
Boston Medical Sciences,https://www.crunchbase.com/organization/boston-medical-sciences,"Artificial Intelligence (AI), Big Data, Health Care, Medical","Tokyo, Tokyo, Japan","Boston Medical Sciences conducts research, prevention, and diagnostics procedures to eliminate colorectal cancer deaths.",,2023-04-06,day,,,,,,,,,,,,,,,,,,Private,,,,,,,
Humetrics,https://www.crunchbase.com/organization/humetrics,"Artificial Intelligence (AI), Elder Care, Elderly, Health Care, Home Health Care, Internet of Things, Medical Device","Taipei, T'ai-pei, Taiwan",Healthcare solutions,,2020-07-23,day,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,
Strauss Healthcare,https://www.crunchbase.com/organization/strauss-healthcare,"Analytics, Artificial Intelligence (AI), Consulting, Health Care, Mobile Apps","Ahmedabad, Gujarat, India",Strauss Healthcare provides AI enabled integrated technology solutions for healthcare delivery.,,2017-01-01,year,,,,Kumar Gururajan,11-50,,,,,,,,,,,,,Private,,,,,,,
DoQme,https://www.crunchbase.com/organization/doqme,"Artificial Intelligence (AI), Cloud Data Services, Cloud Management, Health Care, Health Diagnostics, Information Technology","Tel Aviv, Tel Aviv, Israel",DoQme is an artificial intelligence health solution company.,,2016-01-01,day,,,,"Avi Aminov, Roi Shternin",1-10,,,,,,,,,,,,,Private,,,,,,,
Alcheme Skincare,https://www.crunchbase.com/organization/alcheme-skincare,"Artificial Intelligence (AI), Beauty, Cosmetics, Health Care","Singapore, Central Region, Singapore",Alchemy is the ancient science of transforming matter into gold.,,2017-01-01,month,,,,"Constance Mandefield, Tuyen Lamy",1-10,Seed,2018-04-16,Seed,,,,,,,,,,Private,,,,,,,
Atvisor,https://www.crunchbase.com/organization/atvisor,"Artificial Intelligence (AI), Assistive Technology, Health Care, Machine Learning","Ramat Hasharon, Tel Aviv, Israel",Atvisor is an AI-based digital platform for people with disabilities and assistive technology consultation.,,2016-01-01,year,,,,"Amir Nathan, Moran Ran, Ronit Ran",1-10,,,,,,,,,,,,,Private,,,,,,,
Pinoty,https://www.crunchbase.com/organization/pinoty,"Artificial Intelligence (AI), Health Care, Lifestyle, Medical","Madhapur, Andhra Pradesh, India","Pinoty is a medical technology company committed to transforming cardiac care by utilizing medical grade AI, IoT and Cloud technology.",,2018-01-01,year,,,,"Dr Niranjan Ravuri, Ravi Teja",11-50,,,,,,,,,,,,,Private,,,,,,,
COBIO Smart Healthcare Technology,https://www.crunchbase.com/organization/cobio-smart-healthcare-technology,"Artificial Intelligence (AI), Health Care, Information Technology, Medical","Shanghai, Shanghai, China",COBIO Smart Healthcare Technology is a medical diagnostic service provider.,,2012-01-01,year,,,,,101-250,,2017-11-03,Corporate Round,,,,,,,,,,Private,,,,,,,
Fcuro,https://www.crunchbase.com/organization/fcuro,"Artificial Intelligence (AI), Cloud Computing, Health Care, Medical","Osaka, Osaka, Japan",Fcuro is a healthcare company that develops medical AI and human resources to help eliminate preventable death through technology.,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,
"LTPA solution Co.,LTD",https://www.crunchbase.com/organization/ltpa-solution-co-ltd,"Artificial Intelligence (AI), Health Care","Tapei, T'ai-wan, Taiwan",Health care,,2019-10-21,day,,,,,11-50,,,,,,,,,,,,,Private,,,,,,,
Marteck Solutions,https://www.crunchbase.com/organization/marteck-solutions,"Artificial Intelligence (AI), Health Care, Medical","Secunderabad, Andhra Pradesh, India","Marteck Solutions is a healthcare and technology company specializing in teleradiology, medical annotation, and digitalization.",,2019-01-01,year,,,,,11-50,,,,,,,,,,,,,Private,,,,,,,
Sino-Us Diagnostics,https://www.crunchbase.com/organization/sino-us-diagnostics,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Medical","Tianjin, Guangdong, China",Sino-Us Diagnostics focuses on the pathological diagnosis and clinical testing of various diseases.,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,
Phi-G,https://www.crunchbase.com/organization/phi-g,"Artificial Intelligence (AI), Health Care, Machine Learning","Tel Aviv, Tel Aviv, Israel",Phi-G develops precision management and targeting sleeping disorder that takes all the multi-disturbing actors stimulant.,,2018-01-01,year,,,,"Ariel Katz, Assaf Almog",1-10,,,,,,,,,,,,,Private,,,,,,,
Y's Reading,https://www.crunchbase.com/organization/y-s-reading,"Artificial Intelligence (AI), Health Care, Software","Kumamoto, Kumamoto, Japan","Y's Reading is a technology-drvien healthcare company that provides remote diagnostic imaging, AI, and open lab operation services.",,2007-07-01,month,,,,,,,,,,,,,,,,,,Private,,,,,,,
Tpredict,https://www.crunchbase.com/organization/tpredict,"Analytics, Artificial Intelligence (AI), Health Care, Information Technology, Predictive Analytics, Software","Ramat Gan, Tel Aviv, Israel","Tpredict designes a solution that helps physicians make smarter, faster, and more accurate treatment decisions.",,2016-06-01,day,,,,Moshe Mazuz,11-50,,,,,,,,,,,,,Private,,,,,,,
DDH,https://www.crunchbase.com/organization/ddh-c84c,"Artificial Intelligence (AI), Dental, Health Care, Machine Learning, Medical Device, Software","Seoul, Seoul-t'ukpyolsi, South Korea","DDH offers healthcare services for orthopedic, dentals problems.",,2017-03-22,day,,,,Soobok Heo,11-50,,,,,,,,,,,,,Private,,,,,,,
AcroViz Technology,https://www.crunchbase.com/organization/acroviz-technology,"Artificial Intelligence (AI), Health Care, Machine Learning, Medical, Software","Taipei, T'ai-pei, Taiwan",AcroViz Technology analyzes neuro-images using machine learning to predict brain health.,,2018-01-01,year,,,,"RuFen Chen, Wen-Yih Isaac Tseng, Yung-Chin Hsu",,,,,,,,,,,,,,Private,,,,,,,
Pneumedicare,https://www.crunchbase.com/organization/pneumedicare,"Artificial Intelligence (AI), Biotechnology, Health Care, Medical Device","Yoqne`am `illit, HaZafon, Israel","Novel devices for patients requiring continuous, non-invasive monitoring of respiratory function and ventilation",,2007-01-01,year,,,,,,,,,,,,,,,,,,Private,,,,,,,
iBloom.ai HealthTech,https://www.crunchbase.com/organization/ibloom-ai-healthtech,"Artificial Intelligence (AI), E-Commerce, Health Care, Health Diagnostics, Information Technology, Machine Learning","Bangalore, Karnataka, India",iBloom.ai is artificial intellengcy preventive healthcare & commerce platform starup founded by healthcare professionals.,,2022-01-16,day,,,,Kirit Koladiya,1-10,,,,,,,,,,,,,Private,,,,,,,
Einocie,https://www.crunchbase.com/organization/einocie,"Analytics, Artificial Intelligence (AI), Biopharma, Health Care, Precision Medicine","Seoul, Seoul-t'ukpyolsi, South Korea",single-cell multi-omics analysis and AI-based bioinformatics for precision medicine,,2020-06-03,day,,,,,,,2021-06-01,Non-equity Assistance,,,,,,,,,,Private,,,,,,,
ERISA - Everyplan Institute for Statistical Analysis,https://www.crunchbase.com/organization/erisa-everyplan-institute-for-statistical-analysis,"Analytics, Artificial Intelligence (AI), Health Diagnostics, Machine Learning, Medical, Software","Matsue, Shimane, Japan","ERISA provides AI & Machine Learning related products & services such as Data analysis,BAAD MRI analysis software & ML programs ADS & DSA .",,2017-04-10,day,,,,,,,,,,,,,,,,,,Private,,,,,,,
Alixir,https://www.crunchbase.com/organization/alixir,"Artificial Intelligence (AI), Health Care, Information Technology, Software","Sydney, New South Wales, Australia","Alixir is an engineer deep learning & computer vision technology for healthcare, working on the mammographic detection system of the future.",,2017-01-01,year,,,,,1-10,,,,,,,,,,,,,Private,,,,,,Engineering,1
